base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	ce_loss_factor_incft	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	inc_ft_lr_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
100.0	0.01	10.62	0.01	[100.0, 85.98, 97.96, 97.79, 99.88, 98.78, 99.42, 100.0, 100.0, 100.0]	[nan, 33.33, 0.0, 0.75, 0.95, 0.0, 0.27, 0.02, 0.01, 0.01]	[100.0, 59.28, 31.55, 25.07, 21.3, 17.78, 15.67, 13.36, 11.95, 10.62]	[0.0, 14.01, 0.93, 0.0, 1.04, 0.29, 0.17, 0.01, 0.01, 0.01]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.49	62.76	62.09	0.03	[100.0, 96.34, 83.48, 73.36, 68.12, 61.61, 56.49, 56.49, 56.49, 56.49]	[nan, 99.89, 88.63, 88.65, 77.31, 74.49, 67.0, 65.64, 61.07, 62.76]	[100.0, 98.02, 86.98, 84.79, 75.44, 72.2, 65.37, 64.42, 60.53, 62.09]	[0.0, 0.04, 0.2, 0.11, 0.11, 0.2, 0.14, 0.1, 0.04, 0.03]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	0	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
94.94	24.39	31.87	0.3	[100.0, 98.49, 94.47, 92.03, 89.12, 89.47, 91.45, 91.68, 89.59, 94.94]	[nan, 97.51, 64.66, 53.33, 29.9, 32.83, 30.45, 17.98, 19.06, 24.39]	[100.0, 97.99, 74.29, 62.99, 42.07, 42.93, 39.92, 27.8, 27.48, 31.87]	[0.0, 0.07, 0.77, 0.72, 2.19, 0.09, 0.7, 0.17, 0.33, 0.3]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
55.73	62.82	62.07	0.06	[100.0, 96.22, 83.25, 72.72, 67.31, 60.73, 55.73, 55.73, 55.73, 55.73]	[nan, 99.89, 88.72, 88.72, 77.45, 74.49, 67.05, 65.7, 61.18, 62.82]	[100.0, 97.96, 86.97, 84.69, 75.38, 72.05, 65.3, 64.36, 60.53, 62.07]	[0.0, 0.1, 0.12, 0.18, 0.04, 0.21, 0.11, 0.07, 0.08, 0.06]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	0	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.25	62.76	62.07	0.03	[100.0, 96.34, 83.31, 73.3, 67.83, 61.14, 56.25, 56.25, 56.25, 56.25]	[nan, 99.89, 88.8, 88.74, 77.39, 74.4, 66.97, 65.61, 61.11, 62.76]	[100.0, 98.02, 87.04, 84.85, 75.44, 72.04, 65.31, 64.36, 60.53, 62.07]	[0.0, 0.04, 0.18, 0.18, 0.1, 0.22, 0.16, 0.09, 0.04, 0.03]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	0	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.01	10.62	0.01	[100.0, 98.6, 98.96, 99.53, 97.79, 65.74, 49.8, 76.96, 65.85, 100.0]	[nan, 97.1, 49.66, 20.31, 13.15, 5.98, 8.48, 4.66, 4.82, 0.01]	[100.0, 97.85, 65.61, 40.13, 30.53, 16.72, 14.91, 14.32, 12.11, 10.62]	[0.0, 0.1, 4.45, 5.65, 6.53, 2.97, 1.71, 1.88, 1.25, 0.01]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
100.0	0.0	10.61	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[100.0, 49.37, 32.21, 25.07, 20.56, 18.0, 15.53, 13.35, 11.94, 10.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	0.1	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
96.28	23.54	31.26	0.62	[100.0, 98.55, 95.06, 93.19, 90.17, 90.05, 92.15, 92.26, 91.86, 96.28]	[nan, 97.68, 66.42, 54.88, 29.91, 32.82, 30.91, 17.7, 18.56, 23.54]	[100.0, 98.1, 75.68, 64.45, 42.28, 43.03, 40.42, 27.64, 27.31, 31.26]	[0.0, 0.16, 1.24, 1.63, 1.54, 0.18, 0.26, 0.28, 0.5, 0.62]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	0.01	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
